OFFENSE,codec_category
BURGLARY,property
BREAKING AND ENTERING,property
AGGRAVATED BURGLARY,property
"AGG BURGLARY-ARMED W/ DEADLY WEAPON, ORDNANCE",property
B&E -COMMIT THEFT/FELONY-UNOCC/FORCE/STEALTH,property
B&E-COMMIT FELONY-PREMISES OF ANOTHER,property
AGGRAVATED BURGLARY - INFLICT HARM,property
BURGLARY- TRESPASS STRUCT TO COMMIT OFFENSE,property
BURGLARY- TRESPASS LIKELY OCC STRUCT COMMIT OFFENSE,property
BURGLARY- TRESPASS OCC STRUCT TO COMMIT OFFENSE,property
BURGLARY- TRESPASS OCC/LIKELY OCC STRUCT TO COMMIT OFFENSE,property
THEFT,property
TAMPERING WITH COIN MACHINES,property
UNAUTHORIZED USE OF PROPERTY,property
THEFT- WITHOUT CONSENT     M1F4,property
SAFECRACKING,property
THEFT BY DECEPTION        M1F4,property
THEFT- BEYOND SCOPE OF CNSNT M1F4,property
THEFT BY THREAT           M1F4,property
THEFT - BY INTIMIDATION,property
THEFT IN OFFICE,property
UNAUTHORIZED USE OF PROPERTY-GENERAL,property
CRIMINAL DAMAGING/ENDANGERING,property
ASSAULT,violent
DOMESTIC VIOLENCE,violent
TELEPHONE HARASSMENT,violent
AGGRAVATED MENACING,violent
MENACING,violent
TAKING THE IDENTITY OF ANOTHER,other
VIOLATE PROTECTION ORDER/CONSENT AGREEMENT,violent
IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,violent
FORGERY,other
MISUSE OF CREDIT CARD,other
ENDANGERING CHILDREN,violent
PASSING BAD CHECKS,other
VANDALISM,property
CRIMINAL MISCHIEF,violent
SEXUAL IMPOSITION,violent
INTERFERENCE WITH CUSTODY,violent
GROSS SEXUAL IMPOSITION,violent
MENACING BY STALKING,violent
ABDUCTION,violent
FAIL COMPLY ORDER/SIGNAL OF PO-ELUDE/FLEE,other
PUBLIC INDECENCY,violent
SEXUAL BATTERY,violent
KIDNAPPING,violent
UNLAWFUL SEXUAL CONDUCT WITH A MINOR,violent
INDUCING PANIC,violent
TELECOMMUNICATIONS FRAUD,other
RECEIVING STOLEN PROPERTY,property
MAKING FALSE ALARMS,other
UNLAWFUL RESTRAINT,violent
INTIMIDATION,violent
VEHICULAR VANDALISM,property
EMBEZZLEMENT,other
VOYEURISM,violent
EXTORTION,violent
PATIENT ABUSE; NEGLECT,violent
CRIMINAL CHILD ENTICEMENT,violent
DOMESTIC VIOLENCE - KNOWINGLY HARM,violent
ASSAULT - KNOWINGLY HARM VICTIM,violent
IMPERSONATING PEACE OFFICER/PRIVATE POLICEMAN,other
INTIMIDATION-PUBLIC SERV/PARTY OFF,violent
"CRIMINAL DAMAGING/ENDANGERING - KNOWINGLY, ANY MEANS",violent
RUNAWAY,other
DISRUPTING PUBLIC SERVICE,violent
CRIMINAL TRESPASS,violent
IMPORTUNING,violent
AGGRAVATED TRESPASS,violent
TELEPHONE HARASSMENT - ANONYMOUS,violent
FAILURE TO COMPLY ORDER/SIGNAL OF PO,other
PUBLIC INDECENCY - EXPOSURE,violent
CRIMINAL SIMULATION,violent
ENDANGERING CHILDREN - ABUSE,violent
"GROSS SEXUAL IMPOSITION - < 13 YRS, STATUTORY",violent
ENDANGERING CHILDREN-RISK HARM,violent
"FORGERY - UTTER, POSSESS TO UTTER",other
IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL-OCCUPIED STRUCTURE,violent
PERSONATING AN OFFICER,other
SEXUAL IMPOSITION - OFFENSIVE CONTACT,violent
ARSON,property
PARENTAL EDUCATION NEGLECT,other
WIRE FRAUD,other
DOMESTIC VIOLENCE - BELIEF IMMINENT HARM,violent
TELEPHONE HARASS-ABUSE/THREATEN/ANNOY,violent
DEFRAUDING A LIVERY OR HOSTELRY,other
FAIL TO PROVIDE FOR FUNCTIONALLY IMPAIRED PERSON,other
GROSS SEXUAL IMPOSITION - FORCE,violent
BRIBERY,other
CRIMINAL MISCHIEF - MOVE/DEFACE/TAMPER PROP OF ANOTHER,property
"FORGERY - COPY, NOT GENUINE",other
SEXUAL BATTERY - MISTAKE FOR SPOUSE,violent
UNATHORIZED USE OF CABLE DEVICE,other
VANDALISM - GOVERNMENT ENTITY,property
VIOL PROT ORDER/CONSENT AGREE-2903-203/2903-204,other
ABDUCTION - REMOVE FROM PLACE FOUND,violent
DISORDERLY CONDUCT,violent
FORGERY - WITHOUT AUTHORITY,other
VIOL PROT ORDER/CONSENT AGREE-2919-26/3113-31,other
DEFRAUDING LIVERY/HOSTELRY-FAILED TO PAY,other
INTIMIDATION-VICTIM/WITNESS,violent
KIDNAPPING - ENGAGE IN SEXUAL ACTIVITY,violent
POSSESSING CRIMINAL TOOLS,violent
PUBLIC INDECENCY - ENGAGE IN SEX ACT,violent
"SEXUAL IMPOSITION - VICTIM 13, 14, 15",violent
TAMPERING WITH RECORDS,other
VANDALISM - PROPERTY USED FOR BUSINESS > $500,property
VECHICULAR VANDALISM,property
ABDUCTION - RESTRAIN LIBERTY,violent
AGGRAVATED ARSON,property
ARSON - PROPERTY OF ANOTHER,property
ASSAULT - RECKLESSLY HARM VICTIM,violent
CONTRIB TO CHILD UNRULINESS/DELINQUENCY,other
DEFR LIVERY/HOSTELRY-ABSCONDED W/O PAYING,other
DEFR LIVERY/HOSTELRY-HIRED/RENTED W/O MEANS PAY,other
DEFRAUDING CREDITORS,other
DISORDERLY CONDUCT-FIGHTING/THREATENING,violent
ENDANGERING CHILDREN-CORPORAL PUNISHMENT,violent
ENDANGERING CHILDREN-OP VEH UNDER INFL CHILD<18,violent
GROSS SEX IMP - VICT MENTAL/PHYSICAL COND,violent
INSURANCE FRAUD,other
MISUSE OF CREDIT CARD - OBTAIN BY DECEPTION,other
SEXUAL BATTERY - SCHOOL PERSON OF AUTHORITY,violent
SEXUAL BATTERY - VICTIM COERCED,violent
SEXUAL IMPOSITION - VICTIM IMPAIRED,violent
COERCION,other
COMPLICITY,other
"CRIMINAL DAMAGING/ENDANGERING- RECKLESSLY,FIRE,FLOOD,EXPLODE",violent
CRIMINAL MISCHIEF - SET FIRE OTHER'S LAND,violent
CRIMINAL MISCHIEF - TAMPER WITH MARKER,other
DECEPTION TO OBTAIN A DANGEROUS DRUG,other
DIS MATTER HARMFUL TO JUV - ALLOW TO REVIEW,violent
DISCH FIREARM ON/NEAR PROH PREM-SCHOOL/CHURCH/DWELLING OF ANOTHER/CHARIT INSTIT,violent
DISCHARGE FIREARM ON/NEAR PROHIBITED PREMISES,violent
DISORDERLY CONDUCT-OFFENSIVE GEST/NOISE,violent
DISORDERLY CONDUCT-PHYS OFFENSIVE COND,violent
DISORDERLY CONDUCT - INTERFERING WITH OTHERS,violent
DISSEMINATE MATTER HARMFUL TO JUVENILES,violent
ENDANGERING CHILDREN-TORTURE/CRUELLY ABUSE,violent
FALSIFICATION,other
HAVING WEAPONS UNDER DISABILITY-FUGITIVE FROM JUSTICE,violent
HAVING WEAPONS WHILE UNDER DISABILITY,violent
ILLEGAL POSS FIREARM IN LIQUOR PERMIT PREMISES,violent
